"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível","Cód.","Brasil e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Nível","Cód.","Brasil e Microrregião Geográfica","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nível","Cód.","Brasil e Microrregião Geográfica","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"MI","24001","Mossoró (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","27","3229","1931","-","10655","10723","5140","1360","0","216","9152","778","11265","10999","3116","2422","11961","4300","4086","4338","13","4985","1203","2097","984","547","84","27","1272","2764","2964","2522"
"MI","24002","Chapada do Apodi (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","183","2268","499","-","4619","3813","2693","675","0","44","4840","469","5047","5858","3230","2077","4857","3901","4476","4187","3","6491","479","899","991","43","256","121","2275","2424","2195","1027"
"MI","24003","Médio Oeste (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","64","1351","568","-","3141","3107","1804","302","0","133","2160","221","2639","2692","1002","354","1148","640","859","570","13","1193","74","151","233","36","17","59","380","724","852","544"
"MI","24004","Vale do Açu (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","674","1707","633","907","4030","3351","2535","274","370","943","1864","918","5441","4682","2421","554","1141","497","809","796","56","1321","2","88","244","19","11","243","283","975","1122","43"
"MI","24005","Serra de São Miguel (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2244","7570","5888","-","8452","7811","7083","7111","73","1444","4193","280","4225","5821","6996","3916","7067","4026","7204","5988","1604","4408","310","118","2284","188","29","277","3605","1712","2570","1743"
"MI","24006","Pau dos Ferros (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","418","6372","3574","-","7873","7382","5968","3587","84","1173","6594","500","8502","8221","7257","2782","7587","4533","8136","6905","979","2724","213","473","2253","125","106","568","3001","2742","2940","2635"
"MI","24007","Umarizal (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","110","3651","2855","-","6126","5377","5244","3648","7","572","4836","412","4982","5069","3677","1408","3969","3005","4766","3356","222","1749","119","283","1308","111","52","200","1836","1474","1786","1282"
"MI","24008","Macau (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","848","227","-","500","745","174","45","-","108","839","11","240","313","255","210","410","89","366","385","24","599","-","199","62","6","136","177","415","846","840","17"
"MI","24009","Angicos (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","5735","1036","-","2780","2850","1519","39","0","47","579","23","606","637","74","129","561","114","365","710","13","957","-","96","82","33","239","84","589","575","491","28"
"MI","24010","Serra de Santana (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","1749","765","-","2248","2048","2571","192","0","60","2896","40","3414","837","340","251","2030","467","1502","775","103","764","4","107","416","31","80","540","1408","3461","3500","404"
"MI","24011","Seridó Ocidental (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","182","856","279","-","787","432","568","32","10","18","611","29","1011","98","75","71","542","99","400","286","75","594","41","95","55","10","14","37","194","352","209","72"
"MI","24012","Seridó Oriental (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","145","1724","530","-","2475","1563","1966","114","75","27","1850","0","1803","88","64","54","1295","127","793","789","105","615","27","28","65","12","29","23","157","594","262","83"
"MI","24013","Baixa Verde (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","1850","626","8","1670","1930","1559","249","245","117","1084","207","1389","1460","1671","343","954","187","497","408","518","1508","-","946","121","128","183","254","411","485","471","74"
"MI","24014","Borborema Potiguar (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","628","12148","9591","11","18502","14828","13243","9689","0","504","7475","1152","4660","5136","10233","3644","2058","1601","8079","5083","404","5978","-","623","21","59","90","114","3270","5705","5073","767"
"MI","24015","Agreste Potiguar (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2431","7476","7021","735","14268","11728","12252","11783","3008","1585","4188","1462","7737","10454","13747","2998","2966","2885","8596","5614","1815","9351","1","3096","1506","1492","429","299","2876","3935","4110","1158"
"MI","24016","Litoral Nordeste (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","578","721","20","2210","2300","2609","1001","1211","517","1366","301","2168","3512","2282","463","1021","414","692","456","564","1662","-","724","1303","358","385","517","830","669","617","223"
"MI","24017","Macaíba (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","222","1307","176","1595","1635","1825","1547","978","1620","1850","482","2066","1903","2115","736","1081","567","929","667","771","1687","-","1073","706","641","558","380","703","950","914","399"
"MI","24018","Natal (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","17","62","55","7","110","165","144","152","135","192","192","79","240","307","307","129","247","237","284","219","151","264","-","184","93","46","64","38","55","57","62","8"
"MI","24019","Litoral Sul (RN)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","525","551","647","186","969","1468","1591","1370","670","913","995","352","1287","1482","1708","575","752","502","932","750","686","1076","16","644","440","337","181","113","374","243","274","316"
"MI","25001","Catolé do Rocha (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","97","480","436","-","3340","3115","5266","1488","28","0","2478","40","2340","3405","1344","101","4573","1686","2106","1920","962","1288","-","6","1450","65","113","417","2616","2269","2819","1621"
"MI","25002","Cajazeiras (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","9592","4537","-","12441","11360","12093","8108","46","3025","12028","456","12033","11258","5170","2192","10681","756","3973","4842","16","4895","-","128","999","241","886","962","4381","3192","7125","7226"
"MI","25003","Sousa (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","172","8975","3401","47","7878","5009","8571","4040","360","893","5495","229","6136","6534","4067","1088","7854","1252","2528","3026","810","5735","1024","159","1388","997","544","717","3661","3129","4036","3681"
"MI","25004","Patos (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","116","2028","671","-","4341","3145","3571","3181","6","50","1644","45","2529","2634","816","250","3830","674","969","1618","118","1221","-","-","752","57","270","331","1530","1788","2443","2176"
"MI","25005","Piancó (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","713","5925","2802","-","8918","4456","7057","3017","27","193","8505","82","8307","9720","4736","1987","11747","2185","7178","6036","303","2447","-","29","859","189","243","510","2238","2258","3627","2689"
"MI","25006","Itaporanga (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","987","9274","5530","-","17230","10489","13950","9230","42","870","22716","189","14880","20462","9480","4744","24324","2377","19649","12636","599","6734","32","50","762","166","270","985","3613","2543","4914","4313"
"MI","25007","Serra do Teixeira (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1639","39945","33126","-","64076","41580","17841","16971","104","854","17388","2150","20171","32194","14194","13434","38280","14259","15440","26315","1410","8553","-","-","5662","434","2774","3046","9470","9530","14842","8822"
"MI","25008","Seridó Ocidental Paraibano (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","1400","425","-","2440","1706","1539","1654","0","0","945","0","1850","56","70","204","1679","204","230","1314","62","459","-","-","131","3","46","4","489","1028","858","1076"
"MI","25009","Seridó Oriental Paraibano (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","5640","3183","45","6920","5366","4013","7310","21","314","3600","25","3469","1316","350","835","5290","2474","2943","3734","601","2150","7","90","229","50","70","464","1972","947","4972","453"
"MI","25010","Cariri Ocidental (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","5154","4796","15","11347","15970","13806","12198","18","84","7584","109","4444","2176","1558","6031","12108","3136","11147","7451","853","4027","-","-","299","25","373","511","2734","1748","6873","1830"
"MI","25011","Cariri Oriental (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2474","1349","1718","6","6600","2516","779","2031","0","51","2564","264","937","978","1469","2465","2711","1572","3705","2875","408","2710","78","164","433","9","169","45","427","287","1678","73"
"MI","25012","Curimataú Ocidental (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1860","7475","3755","554","9850","6920","5100","7028","224","1689","9970","255","839","2970","2925","4275","5420","6775","7032","4229","402","3579","95","2307","975","314","599","1584","3661","1452","4188","584"
"MI","25013","Curimataú Oriental (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4710","4670","4670","687","3560","6450","6979","8250","361","2264","5175","721","1595","5039","6850","6400","5980","8254","9940","3872","590","3570","1236","3805","613","1017","1578","3274","4925","3490","3215","5070"
"MI","25014","Esperança (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","285","325","186","31","352","129","386","173","16","79","920","108","166","277","808","653","1024","2218","1947","432","159","620","102","722","382","398","355","1080","570","90","1195","440"
"MI","25015","Brejo Paraibano (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5035","5315","5115","870","5960","5450","2610","10020","420","1601","4610","665","2141","3211","3161","2834","3682","3641","3565","1910","704","1768","383","2045","1132","536","1044","1966","2342","1501","2692","1888"
"MI","25016","Guarabira (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4400","3950","4000","971","3950","5190","4302","6104","699","1354","1520","392","2210","3008","2987","1740","1889","1725","1944","1250","178","3265","2697","9510","4572","1282","984","2354","1564","1583","2198","2400"
"MI","25017","Campina Grande (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6224","5280","4730","970","15295","9845","7692","5934","84","328","8982","802","4466","6323","5020","5380","8621","4918","7910","5488","2530","3068","218","2779","2345","543","531","2239","1962","356","2207","382"
"MI","25018","Itabaiana (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10600","7810","5320","317","20730","9370","11441","20350","112","297","6990","463","2030","9705","5578","4427","4174","11022","11500","7910","429","3510","260","3108","3678","3806","822","3837","5098","1221","4947","2027"
"MI","25019","Umbuzeiro (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3420","2460","820","65","3700","2436","1380","3170","2","31","1050","443","340","767","726","830","770","732","2010","1220","124","1541","89","792","325","142","183","821","389","161","875","130"
"MI","25020","Litoral Norte (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1546","1546","1546","1546","1221","1165","424","658","295","182","444","205","717","713","746","571","429","551","514","492","51","429","135","551","403","212","288","317","277","268","299","251"
"MI","25021","Sapé (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1863","1377","633","86","1652","2062","1818","5068","153","48","568","74","240","1104","706","738","1428","2922","2612","2383","187","587","92","847","810","438","391","748","799","273","1294","715"
"MI","25022","João Pessoa (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","37","42","42","40","43","66","58","16","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MI","25023","Litoral Sul (PB)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","141","141","155","155","355","281","164","209","80","-","56","6","30","30","138","207","360","360","360","288","11","270","100","360","50","10","80","30","30","300","288","325"
"MI","26001","Araripina (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6598","17956","13391","0","25185","29268","58185","24022","1096","22032","30260","3540","7966","9366","5805","13310","49467","20371","39665","32145","17256","9190","25","-","3025","2716","3070","2211","11716","7679","36848","11308"
"MI","26002","Salgueiro (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3450","5562","6509","385","15432","14920","21892","15094","420","1638","13870","3252","6332","8145","3934","2970","5516","3109","12940","12645","2550","9135","975","1095","2190","1440","270","675","1425","765","4042","4870"
"MI","26003","Pajeú (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4297","33058","21382","57","95510","56934","50638","38940","12","735","26628","864","45817","48897","21585","46275","69860","33519","44714","50207","3015","32912","-","182","18228","89","1382","9408","16793","14866","14266","15278"
"MI","26004","Sertão do Moxotó (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2575","6758","8127","51","25870","14588","20518","15443","16","209","8700","426","6163","4722","4944","12540","19272","17328","19504","23960","11940","19200","11621","480","4868","202","139","1117","2450","490","5469","2650"
"MI","26005","Petrolina (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1353","2196","721","389","2933","5327","10432","11068","2165","1440","15524","3731","80","1616","2290","3970","2372","1102","2408","11382","681","5352","-","-","172","5298","262","53","1607","104","6032","1488"
"MI","26006","Itaparica (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","113","218","1363","54","1431","3357","4156","3098","1170","425","3544","496","387","322","1665","3658","3534","857","2677","3241","423","2066","-","-","375","17","96","207","189","94","453","935"
"MI","26007","Vale do Ipanema (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7478","16480","5368","196","24936","13740","13615","13706","78","167","10133","534","3797","498","5214","12500","17832","17190","18420","16476","9090","12900","1210","2259","6756","1060","78","2675","3828","1333","1749","691"
"MI","26008","Vale do Ipojuca (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15796","17401","8054","110","24697","12690","13377","15633","745","370","5377","849","5401","745","5478","5038","6116","9180","10310","8505","6528","5998","115","3806","3027","2559","1339","8328","3027","1102","3040","3590"
"MI","26009","Alto Capibaribe (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7058","4732","330","59","10096","7505","3322","4837","601","234","2335","42","682","111","760","1004","941","825","1578","4342","1521","3835","1887","1988","1041","268","61","1946","903","238","6995","695"
"MI","26010","Médio Capibaribe (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12818","17436","1795","261","19861","17758","16339","18300","573","1084","8196","3707","2584","5221","4682","6494","8211","7319","11439","13359","6335","11072","4605","5871","6957","2430","4099","8210","5852","150","9366","3778"
"MI","26011","Garanhuns (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13981","10733","3128","894","14935","14898","16868","16391","6311","4625","13091","2482","6355","1166","7764","6644","10644","10134","12249","13193","7588","9819","1176","7115","4948","8611","1828","9452","1622","2782","3609","18073"
"MI","26012","Brejo Pernambucano (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2826","4289","2053","410","4917","2626","4414","3456","423","1020","905","289","565","36","1143","1213","1374","1281","1794","1892","1644","964","63","190","840","805","98","683","1513","825","1372","3260"
"MI","26013","Mata Setentrional Pernambucana (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","452","639","486","263","950","1169","1051","1286","228","328","631","302","347","484","455","254","273","319","356","356","341","412","152","936","642","372","642","569","-","11","13","16"
"MI","26014","Vitória de Santo Antão (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","191","428","357","117","642","850","953","4901","835","179","81","-","4","9","10","15","15","23","26","25","25","25","175","-","-","-","-","63","115","50","30","63"
"MI","26015","Mata Meridional Pernambucana (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","132","276","98","136","178","167","305","263","234","432","413","-","195","120","17","64","98","119","351","982","549","919","50","-","-","-","-","1","-","-","36","36"
"MI","26016","Itamaracá (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","42","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48","1140","138","211","105","105","-","-","5","-","-","-","-","-","130","-"
"MI","26017","Recife (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","174","261","-","-","105","300","196","213","213","8","41","-","-","-","-","-","-","-","24","138","124","124","-","-","-","-","-","-","-","-","-","-"
"MI","26018","Suape (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","42","54","-","-","-","45","45","46","46","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MI","26019","Fernando de Noronha (PE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"MI","27001","Serrana do Sertão Alagoano (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2200","-","73","28","10368","6570","11056","9792","526","324","1695","465","6972","465","1134","5449","7296","4228","9078","5657","2222","1642","12","-","335","13","-","609","-","32","827","1312"
"MI","27002","Alagoana do Sertão do São Francisco (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","900","-","12","0","3456","2010","3936","3840","272","0","615","134","2268","21","198","2136","4040","1799","4433","2785","1260","673","54","-","215","-","-","618","-","103","634","714"
"MI","27003","Santana do Ipanema (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4291","5958","189","56","9061","6811","5686","10946","247","2394","1863","634","1545","475","1240","5772","6028","6939","9915","8274","3852","4347","99","1828","2717","737","12","2664","122","774","2953","5340"
"MI","27004","Batalha (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4281","6271","3418","94","6724","7250","6402","8446","3107","4279","4078","2904","4411","126","6332","3944","3368","3956","5980","4914","2921","10664","114","758","731","232","14","2554","23","905","982","3270"
"MI","27005","Palmeira dos Índios (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2817","2368","469","346","2901","2858","1303","1652","2208","1593","2608","2235","2753","2454","5104","5748","6734","6423","7083","7951","4345","6191","151","2852","3237","3325","4155","2375","2235","2642","8038","10592"
"MI","27006","Arapiraca (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2459","6253","6227","2415","8164","8138","7811","9211","8381","8615","16883","11995","15707","6102","12250","6747","6599","6182","9235","7405","5513","7687","508","2244","2433","9791","1684","12605","3999","15000","14225","20911"
"MI","27007","Traipu (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","654","2633","2013","227","4023","3778","3600","3974","2950","863","8423","5855","3900","226","1779","2652","2679","2681","3692","3065","2253","1133","164","468","910","1050","51","3310","199","480","670","6140"
"MI","27008","Serrana dos Quilombos (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","916","626","346","227","399","750","855","889","969","1026","1028","902","702","670","404","676","454","587","770","773","294","132","99","142","174","158","88","359","436","546","588","470"
"MI","27009","Mata Alagoana (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","168","121","152","224","308","423","454","434","416","434","445","388","334","310","196","295","288","334","430","397","198","188","78","198","100","79","130","435","869","789","1056","2996"
"MI","27010","Litoral Norte Alagoano (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","34","33","45","82","90","115","113","118","115","145","148","135","169","144","111","65","70","60","71","71","74","67","-","32","-","-","-","-","-","-","-","-"
"MI","27011","Maceió (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","37","43","36","19","30","32","32","45","48","38","72","70","96","100","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","2","2","-"
"MI","27012","São Miguel dos Campos (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2952","1284","780","1318","585","622","775","966","1001","918","3391","1460","1493","447","415","376","505","345","687","508","251","274","149","83","129","175","6701","7042","16745","31990","30623","29303"
"MI","27013","Penedo (AL)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","665","753","234","249","577","582","385","553","385","290","1295","333","336","349","670","575","603","577","808","582","297","395","222","142","320","240","222","936","793","859","499","594"
"MI","28001","Sergipana do Sertão do São Francisco (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4650","24698","1635","1110","36986","33115","38185","35905","7308","22390","13191","7617","6374","12350","17687","66280","70260","60740","45240","73618","85308","35757","9036","47195","85735","42542","6079","143858","2224","91301","137120","185084"
"MI","28002","Carira (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5924","12639","2488","395","17776","12912","35939","18326","24690","38616","27776","9850","6209","24850","31480","44345","32907","52644","377666","406100","429860","239720","51923","341160","384772","200175","56742","302350","18005","274800","364692","180440"
"MI","28003","Nossa Senhora das Dores (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1838","3023","819","733","4104","3780","6218","4774","4940","5891","7257","3746","4668","7582","7528","11590","10250","10400","22162","22006","21610","8080","4767","8750","14857","10635","4508","25323","7923","39552","45427","64991"
"MI","28004","Agreste de Itabaiana (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1358","2185","1106","1229","2986","2967","4606","2946","4173","5073","3790","3613","2093","3497","2936","3190","2295","2558","3101","6537","6446","9315","4456","8705","10669","7015","3114","18221","3639","17712","25796","17146"
"MI","28005","Tobias Barreto (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","251","1260","1745","327","10575","6669","17082","22088","23364","37660","25450","13131","11602","30160","66425","69900","58625","100338","124930","181040","193891","175374","197087","246162","217551","189808","37456","297020","31768","207760","242553","169800"
"MI","28006","Agreste de Lagarto (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","858","1214","1675","1392","2212","2304","2610","3040","3168","2295","2720","2142","1915","2490","2892","2800","3120","3624","3720","5032","4968","4920","7544","19350","14836","11770","5184","28009","19710","25900","39650","41988"
"MI","28007","Propriá (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1331","1560","627","562","2021","2090","1852","1709","1739","2192","2057","1682","1504","1269","2601","3018","3034","2584","2439","2865","2865","1501","2000","2496","5382","8431","2837","9450","28","6486","5311","26583"
"MI","28008","Cotinguiba (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","477","834","351","290","804","813","766","866","810","1015","1177","1926","1618","1900","1704","1346","1346","1269","1108","974","1011","1011","820","792","714","569","554","751","1555","3533","4537","6156"
"MI","28009","Japaratuba (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","509","437","408","284","553","442","387","483","503","696","802","819","493","529","493","413","474","498","446","486","445","438","525","555","608","859","1249","652","266","1398","5649","19101"
"MI","28010","Baixo Cotinguiba (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","213","386","336","265","263","320","296","488","484","519","531","605","497","387","622","606","330","290","298","324","358","306","298","300","205","228","228","171","117","180","172","155"
"MI","28011","Aracaju (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","117","115","147","121","100","131","431","257","272","259","261","243","162","96","256","230","121","121","116","116","128","100","129","100","88","95","94","123","121","95","123","123"
"MI","28012","Boquim (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","762","737","758","764","881","994","1073","987","1555","1227","1501","1033","944","1127","1282","1445","1562","1498","2510","2972","2697","2704","10288","20977","22879","19682","19797","14914","19859","16056","30334","28360"
"MI","28013","Estância (SE)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","321","287","266","382","407","479","400","224","423","382","418","319","301","358","411","414","584","565","1050","1224","1131","1250","1702","4360","4176","3920","3120","2920","1599","2448","3142","1838"
"MI","29001","Barreiras (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19908","152999","137839","211904","235170","308454","337119","495851","311397","450396","590094","644804","485628","630024","780246","692174","394780","767391","978160","1089500","1090901","1114919","1363176","1194590","1785985","1595638","643640","919679","1319161","848318","1047180","1085988"
"MI","29002","Cotegipe (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3370","23742","16975","22737","24414","16126","11585","13707","13242","15714","24060","16647","25521","30513","39816","40326","22636","24204","29684","49244","42303","42243","10302","26396","72309","73182","153723","22723","24193","13368","13252","29940"
"MI","29003","Santa Maria da Vitória (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2868","7228","18522","173297","155811","178510","129487","168860","136481","180448","279153","165892","115914","239439","344352","291480","184352","203210","288151","383639","314441","442115","394716","252584","625477","306172","487321","485338","694939","467231","540549","671563"
"MI","29004","Juazeiro (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6035","7100","7750","7250","11751","14450","12875","14788","9369","3496","9820","7197","5067","1341","2208","6806","2682","2943","4568","7899","3050","1123","483","340","1867","7070","7745","1109","1124","551","2693","3683"
"MI","29005","Paulo Afonso (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","675","158","42","19","197","1750","1032","900","640","336","3812","295","1158","51","153","512","2181","1401","1380","2780","1821","15","85","54","491","504","71","2646","1104","451","1212","415"
"MI","29006","Barra (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1722","2877","3636","2513","8374","1570","317","5161","88","2118","2828","277","1906","885","4021","5127","4175","3607","2040","11742","392","2830","469","958","4995","3832","12719","5969","5617","3425","2039","8613"
"MI","29007","Bom Jesus da Lapa (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1034","4094","6605","39430","47864","15705","11451","15550","3284","9965","32848","2914","15070","14067","19080","18580","2637","7077","6663","17310","863","13946","10656","19725","49716","27937","24930","26613","20590","19470","7300","21451"
"MI","29008","Senhor do Bonfim (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4976","6971","15535","162","4311","1440","1958","9598","66","346","8208","2380","376","3924","4691","5971","4315","7574","3729","6617","5479","3234","-","1025","7874","11848","4158","198","1063","860","2577","3153"
"MI","29009","Irecê (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13501","11177","126178","20273","46107","4634","4975","132761","2659","12443","99782","40832","43759","31549","181340","112605","44423","52637","38414","21190","49736","76456","1306","1063","2079","21396","36873","20155","19737","12045","21592","21367"
"MI","29010","Jacobina (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2873","3559","26233","1952","7344","1850","505","16388","348","776","10061","7800","2644","3815","9333","10659","21775","13149","11202","7941","6548","3868","1851","8844","8964","16259","13896","3257","2805","3190","2244","3168"
"MI","29011","Itaberaba (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1152","3150","1999","579","3342","2249","1477","4163","2811","3006","4440","2483","3112","2800","1215","2213","6692","3436","5600","4798","4947","1151","34","14527","2341","11107","263","2468","1747","956","3010","3779"
"MI","29012","Feira de Santana (BA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2487","5751","1805","773","11005","3340","18746","16011","5570","5818","12803","9468","13253","15469","2582","29728","28319","13109","11055","17061","21629","10603","2050","27531","20512","14690","1355","2161","3942","2019","4165","6499"
