"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível","Cód.","Brasil e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Nível","Cód.","Brasil e Microrregião Geográfica","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nível","Cód.","Brasil e Microrregião Geográfica","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"MI","13003","Alto Solimões (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1945","1846","601","684","746","881","1105","1063","1168","1176","1176","1176","1177","1178","1176","1388","1602","1602","1900","1900","2950","3717","3461","3100","1216","1172","460","187","92","114","263","111"
"MI","13004","Juruá (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","651","822","923","708","704","951","2201","2201","2238","4064","4064","2328","1939","1973","2233","4294","4158","3471","3419","3395","4950","3682","4271","4005","2749","1815","1163","981","2260","1533","1318","1037"
"MI","13005","Tefé (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51","28","250","271","213","294","192","22","24","309","309","259","259","497","468","993","1070","1129","670","670","650","600","670","137","142","116","253","29","27","22","19","20"
"MI","13006","Coari (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","415","420","300","408","331","382","1130","1110","1147","1843","1843","1358","1358","1358","1361","729","1424","1424","1780","2467","2850","1985","1915","2207","1680","446","70","290","346","340","340","348"
"MI","13007","Manaus (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","206","960","2293","2732","1233","1605","2269","2262","2289","2292","2292","2552","2552","2552","4364","6732","7020","7020","3776","3495","5300","5271","5303","2682","2067","966","2187","2332","743","344","325","280"
"MI","13008","Rio Preto da Eva (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","51","-","90","105","120","7","7","182","175","175","175","213","213","202","90","90","46","280","260","760","370","374","280","290","365","260","250","360","5","-","90"
"MI","13009","Itacoatiara (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","133","257","1483","1017","1057","1110","742","742","782","1089","1579","1721","2741","2753","2809","3873","3323","3335","1900","1878","2400","4550","4405","1587","454","1797","1165","470","455","192","198","178"
"MI","13010","Parintins (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","309","354","438","714","655","346","673","673","681","1448","1714","1140","1140","985","1436","2905","2755","2852","2512","2460","2800","1854","1732","1853","1555","898","582","435","369","360","345","237"
"MI","13011","Boca do Acre (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","140","417","414","...","-","2208","1627","1627","1619","1676","1676","1676","1676","1676","1410","817","965","1037","1425","1320","1700","2850","2725","1720","2262","1964","1539","1575","1447","1460","1545","1462"
"MI","13012","Purus (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","92","435","77","132","143","118","396","396","305","301","301","302","272","278","498","816","870","1176","1962","1900","2200","1734","1736","2500","928","1110","1311","1466","129","341","440","467"
"MI","13013","Madeira (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","993","1087","1114","700","717","1518","2357","2607","2793","2774","2774","1546","1939","8663","8924","11706","13245","5485","9537","9355","7900","8930","9618","7140","3435","1510","750","789","1864","1958","2028","2127"
"MI","14001","Boa Vista (RR)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3273","1357","1483","...","3236","5973","3745","4725","3980","6500","6500","5500","6300","10000","8600","8600","8600","4619","5292","5098","5098","3923","4977","5354","6246","2600","4391","15400","12600","16160","28508","25040"
"MI","14002","Nordeste de Roraima (RR)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","295","333","...","1122","2329","5251","5351","4290","5900","5900","4120","4720","8700","7540","7540","7540","3450","2653","2786","2786","2961","2578","4995","3940","7447","8610","20936","22214","30408","44970","79420"
"MI","14003","Caracaraí (RR)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1148","677","...","1817","3872","3847","4129","3240","4600","4600","3800","5400","6200","4800","4800","4800","2485","2609","2651","2651","2651","2193","2754","2904","1881","1816","3348","7844","3437","5150","8985"
"MI","14004","Sudeste de Roraima (RR)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","620","707","...","1325","3226","1682","1995","1531","2500","2500","2090","2800","3540","3060","3060","3060","2246","2246","2265","2265","2265","2052","2335","2260","3600","2196","1690","1990","385","500","714"
"MI","15001","Óbidos (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1712","1524","606","2136","2398","2759","2742","2886","1832","2672","2530","3490","3556","3198","3984","4342","3454","4326","3106","4471","2758","2895","3185","2297","2359","2221","1413","1488","1138","739","216","220"
"MI","15002","Santarém (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","28745","36065","27620","36500","33850","57115","91959","90500","42809","88673","51075","89040","89921","102900","116202","146620","152558","127755","148894","151890","90551","85113","82863","111425","109039","117304","99315","154525","90450","111246","107536","355834"
"MI","15003","Almeirim (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","647","744","744","688","114","114","105","116","108","174","177","107","100","116","175","325","325","499","514","544","245","158","327","383","383","465","464","367","367","370","361","361"
"MI","15004","Portel (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","257","176","187","162","234","219","161","225","189","207","225","210","256","258","193","197","202","206","210","214","202","146","142","150","150","108","126","152","119","46","46","46"
"MI","15005","Furos de Breves (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","74","72","55","60","66","72","102","563","476","488","468","514","595","655","276","266","218","226","208","212","188","164","94","94","82","62","10","4","36","-","-","-"
"MI","15006","Arari (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","223","126","174","304","164","308","259","162","185","24","49","279","237","92","63","119","39","62","24","26","22","14","11","6","-","240","110","110","110","-","-","-"
"MI","15007","Belém (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","264","211","196","153","168","197","345","334","350","343","292","295","270","270","270","270","270","270","288","288","288","360","375","222","162","162","372","395","335","348","209","213"
"MI","15008","Castanhal (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","790","990","829","898","1010","871","2192","1480","1756","1816","1816","1741","1162","1077","1241","2035","3685","1955","1760","654","1052","784","748","804","520","572","663","362","403","451","438","473"
"MI","15009","Salgado (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2461","2473","2310","2599","2480","2482","2267","1803","1266","1123","1159","1221","893","1112","1203","1008","1125","1125","837","672","550","549","501","561","543","446","417","550","483","345","379","696"
"MI","15010","Bragantina (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9049","9072","8977","8630","9099","8566","7751","5966","5519","5301","5088","4751","5657","9215","8881","7922","6266","5542","6837","6615","6169","4401","3398","3012","2881","2516","3033","2908","3402","3313","3087","3993"
"MI","15011","Cametá (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1936","1373","1467","1819","931","1520","640","840","620","694","484","671","764","827","731","539","959","1155","1177","1200","1209","1217","1237","1283","808","836","438","432","456","7108","2963","2939"
